Identifiant,Nom,Description,Tag 1,Tag 2,Tag 3,Latitude,Longitude,N° et nom de rue,CP,Ville,Année de création,Url site web,Email,Nom compte Twitter,Url page Facebook,Url page Google +,Url page Linkedin,Url page Viadeo,Catégorie
altis-semiconductor,Altis Semiconductor,"Altis Semiconductor née du rapporchement d'Infineon Technologies et IMD, division microélectronique d'IBM est spécialisée dans la fabrication de composants électroniques logiques avancés.",securite,ocds,,48.5759468,2.4758997,"224 boulevard John Kennedy, Cedex",91100,Corbeil-Essonnes,1999,http://www.altissemiconductor.com,,,,,,,Entreprise
altran,Altran,"Leader mondial du conseil en innovation et ingénierie avancée, Altran accompagne les entreprises dans leurs processus de création et développement de nouveaux produits et services.",telecoms,,,48.8935677,2.2773372,"2, rue Paul Vaillant-Couturier",92300,Levallois-Perret,2009,http://www.altran.com,,,,,,,Entreprise
alyotech-france,Alyotech France,Alyotech France est spécialisé dans le Conseil en Technologies.,securite,ocds,,48.7630518,2.3092179,2-6 Place du Général de Gaulle,92184,Antony,2005,http://www.alyotech.fr,,,,,,,Entreprise
amarile,Amarile,"Amarile est un éditeur de logiciels spécialisé pour les ingénieurs pétroliers.\nLe principal produit d’Amarile, Reservoir Studio, est une plateforme de préparation et de suivi des simulations dynamiques de réservoirs d’hydrocarbures.\n",,,,48.8250438,2.3714744,"6, Villa Nieuport",75013,Paris,2006,,,,,,,,Entreprise
ambientic,Ambientic,"AMBIENTIC exploite les capacités accrues des terminaux mobiles conjuguées à l'évolution des usages de ces derniers, pour commercialiser de nouveaux services applicatifs mobiles coopératifs utilisés dans un cadre professionnel. ",,,,48.8280881,2.3486808,"16, rue Alphand",75013,Paris,2011,http://www.ambientic.com,,,,,,,Entreprise
amexio,Amexio,"AMEXIO est une société de service spécialisée dans la conduite de projets de gestion des contenus, qu’il s’agisse de documents ou de données.",opensource,,,48.876242,2.3003166,"8, avenue Kléber",75008,Paris,2006,http://www.amexio.fr,,,,,,,Entreprise
amplisens,Amplisens,Bureau d'études spécialisé dans la conception d'interfaces et de logiciels de réalité virtuelle,,,,48.7671232,2.0545304,130 avenue Joseph Kessel,78960,Voisins-Le-Bretonneux,2009,,,,,,,,Entreprise
amplitude-technologies,Amplitude Technologies,"Amplitude Technologies, est spécialisée dans les lasers femtosecondes Saphir:Titane de très haute énergie.",,,,48.6081805,2.4280232,2 rue du Bois Chaland,91090,Lisses,2001,http://www.amplitude-technologies.com/,,,,,,,Entreprise
anakeen,Anakeen,développeur et commerce de solution logiciel pour la gestion de fichiers et l'accès aux données,opensource,,,48.8668775,2.3639941,5 Place de La Republique,75003,Paris,1999,http://www.anakeen.com,,,,,,,Entreprise
anevia,Anevia,"Anevia se situe à l'intersection entre les univers du haut débit, du broadcast et du multimédia, grâce à des solutions de TV sur IP et de vidéo à la demande qui fournissent des services à des millions d'utilisateurs à travers le monde.",,,,48.8139805,2.3431893,1 rue Rene Anjolvy,94250,Gentilly,2003,http://www.anevia.com,,,,,,,Entreprise
ansys,Ansys,Les solutions de simulation numérique ANSYS permettent à nos clients de prédire de façon précise et fiable la manière dont leurs produits se comporteront dans le monde réel.,ocds,,,48.786707,2.044744,"1, Place Charles de Gaulle",78190,Montigny-Le-Bretonneux,1992,http://www.fluent.fr,,,,,,,Entreprise
ant-inno,Ant Inno,Ant'inno est un éditeur de logiciel qui développe et commercialise un logiciel de gestion collaborative de documents.,opensource,,,48.8616977,2.434935,"29, rue de La Beaune",93100,Montreuil,2009,http://www.antinno.fr,,,,,,,Entreprise
apcfc,APCFC,dématérialisation des marchés publics en France,securite,,,48.8708047,2.3433796,"12, rue d'Uzes",75002,Paris,2003,http://www.achatpublic.com,,,,,,,Entreprise
appedge,Appedge,"Le savoir-faire d'Appedge est l’ingénierie mathématique des systèmes complexes. La société travaille et fédère de nombreux laboratoires comme le CMA (école des mines), le laboratoire Stix, le LFC de Jussieu et L’EC paris et participe au consortium SCILAB.",ocds,,,48.9002092,2.2262171,18-22 rue d'Arras,92000,Nanterre,2001,http://www.appedge.com,,,,,,,Entreprise
arc-informatique,Arc Informatique,ARC Informatique est un éditeur de logiciels européen de référence en Informatique Industrielle qui fournit depuis 30 ans des solutions pour la supervision et le contrôle.,ocds,,,48.826967,2.2234686,2 avenue de La Cristallerie,92310,Sevres,1982,http://www.pcvuesolutions.com,,,,,,,Entreprise
arcelor-mittal,Arcelor Mittal,ArcelorMittal est un groupe sidérurgique mondial.,ocds,,,48.9192655,2.3517133,6 rue André Campra,93261,La-Plaine-Saint-Denis,2002,http://www.arcelormittal.com,,,,,,,Entreprise
archos,Archos,"conception et fabrication de matériel électronique grand public (vidéo, mp3)",telecoms,,,48.7296419,2.2353508,12 rue Ampere,91430,Igny,1988,http://www.archos.com,,,,,,,Entreprise
arcure,Arcure,ARcure développe et commercialise des systèmes industriels de vision embarqués destinés à améliorer la sécurité des opérations et à augmenter la productivité.\n,ocds,,,48.8299293,2.3100901,170 rue Raymond Losserand,75014,Paris,2009,http://www.arcure.net,,,,,,,Entreprise
areva-ta,Areva Ta,La propulsion nucléaire navale; la société produit et assure la maintenance des réacteurs nucléaires de propulsion navale des sous-marins et des porte-avions de la flotte militaire.,transport,ocds,,48.725782,2.125206,Route de Saint AubinLieu dit les Hautes Rives,91190,Villiers-Le-Bâcle,2009,http://www.areva.com,,,,,,,Entreprise
ariane-systems,Ariane Systems,Ariane Systems est l'expert incontesté dans le domaine du self check- in / check-out hôtelier,telecoms,,,48.8943531,2.4051807,35 rue Victor Hugocedex,93695,Pantin,2010,http://www.ariane.com,,,,,,,Entreprise
aricad,Aricad,AriCad a développé des méthodes et des outils informatiques permettant l'exploitation totale des logiciels dans le but d'automatiser les tâches redondantes des projets d'études.,ocds,,,48.773613,2.0163014,"4, avenue des Trois Peuples",78180,Montigny-Le-Bretonneux,1987,http://www.aricad.fr,,,,,,,Entreprise
arion,ARION,"ARION a pour axes majeurs : la recherche et développement concentrés autour des systèmes informatiques temps réel, la sureté de fonctionnement, le conseil en informatique temps réel, le développement de calculateurs embarqués.",transport,ocds,,48.7636133,2.2059594,Parc BurospaceBâtiment 2 bis - route de Gisy,91571,Bievres,2003,http://www.arion.fr,,,,,,,Entreprise
arkamys,Arkamys,logiciels et outils de sonorisation,securite,,,48.893169,2.3196849,31 rue Pouchet,75017,Paris,1998,http://www.arkamys.com,,,,,,,Entreprise
arkoon-network-security,Arkoon Network Security,"Pionnier reconnu de la protection des infrastructures IT, ARKOON Network Security offre des solutions certifiées, adaptées à la protection des informations et infrastructures sensibles. ",securite,,,48.817275,2.2977599,"220 Av. Pierre Brossolette, Immeuble Le Pélissier",92240,Malakoff,1999,http://www.arkoon.net,,,,,,,Entreprise
armadillo,Armadillo,La SAS Armadillo est une PME spécialisée dans le domaine des bases de données documentaires,ocds,,,48.8189699,2.2856328,46 bis rue de La République,92170,Vanves,1998,http://armadillo.fr/,,,,,,,Entreprise
armines,Armines,"\nPour accompagner les chercheurs dans leur démarche, ARMINES dispose d’un service central qui assure, le contrôle et le suivi : juridique, économique, le montage des contrats, la propriété intellectuelle, des contrats de recherche.",,,,48.4034138,2.6938999,"35, rue Saint-Honoré",77305,Fontainebleau Cedex,1970,http://cmm.ensmp.fr,,,,,,,Entreprise
arrow-financial-consulting,Arrow Financial Consulting,La vocation d’Arrow Financial Consultingest d’offrir à ses clients une large gamme de prestations alliant maîtrise des technologies et connaissance métier.,opensource,,,48.9102054,2.2550697,"57, Esplanade du Général de Gaulle",92081,Paris La Defense Cedex,2005,http://arrowfinco.com/#,,,,,,,Entreprise
art-fi,Art-Fi,"ART-FI délivre desservices experts en électromagnétisme et en exposition des personnes aux ondes : Conception d'antenne, Simulation électromagnétique 3-D, Formations ""ondes et santé"", Aide à la conformité, Standards et Réglementations.",telecoms,,,48.697161,2.189617,"86, rue de Paris, Bâtiment Erable",91400,Orsay,2010,http://www.art-fi.eu,,,,,,,Entreprise
artelys,Artelys,"Artelys aide ses clients à maîtriser la complexité technique de leurs problèmes et à optimiser leurs décisions, dans des secteurs d’activité très variés : énergie, logistique, telecoms, défense, transports et environnement.",energie,ocds,,48.8695108,2.3374131,"12, rue du 4 Septembre",75002,Paris,2000,http://www.artelys.com,,,,,,,Entreprise
artenum,Artenum,"Artenum est à l'origine de LibreSource, plate-forme collaborative dédiée au développement logiciel et à l'hébergement de communautés, Cassandra, logiciel de visualisation 3D scientifique et SPIS-UI, environnement intégré de modélisation.",opensource,ocds,,48.8805699,2.3663115,24 rue Louis Blanc,75010,Paris,2006,http://www.artenum.com,,,,,,,Entreprise
arteris,Arteris,"La société Arteris™ commercialise des blocs de propriété intellectuelle et des outils permettant la réalisation de « Network on a Chip (NoC) ». Le NoC d’Arteris permet l’intégration des blocs quelle que soit l’interface présentée (AHB, AXI, OCP).",ocds,,,48.7879249,2.056279,"Parc Ariane - Immeuble n° 5 - Neptune, boulevard des Chênes",78280,Guyancourt,2003,http://www.arteris.com,,,,,,,Entreprise
as-plus,As+,"Alliance Services Plus - Groupe Eolen. SSII ; Conseil en ingénierie spécialisé dans les métiers des télécommunications & des medias, et informatique industrielle et scientifique",ocds,,,48.8153237,2.2985972,58 rue Etienne Dolet,92240,Malakoff,2003,http://www.asplus.fr,,,,,,,Entreprise
astalia,Astalia,"Obtenir pour nos clients les aides publiques destinées à contribuer à leur développement : innovation, international, recrutement, investissement... ",,,,48.8561275,2.2716689,5 rue Davioud,75016,Paris,2007,http://www.astalia.fr,,,,,,,Entreprise
atego,Atego,"Atego™ est le premier fournisseur indépendant de runtimes et d’outils de développement collaboratif de classe industrielle, pour la conception d’architectures, de systèmes, de logiciels ou de matériels complexes critiques.",transport,ocds,,48.8218354,2.2552817,5-7 rue de La Gare,92130,Issy-Les-Moulineaux,2009,http://www.atego.com,,,,,,,Entreprise
ateliers-laumonier,Ateliers Laumonier,"Les Ateliers LAUMONIER ont un savoir-faire en mécanique de précision, en électronique et en informatique nous permet de vous accompagner tout au long de la vie de vos produits.",transport,,,49.1245568,2.1716832,11 rue de Chenival,95690,Nesles-La-Vallee,1963,,,,,,,,Entreprise
ateme,Ateme,"Ateme pionnier de l'adoption du MPEG-4 et H.264 travaille également sur les applications les plus exigeantes, comme les transports (route, train, aéroports) ou de gouvernement (militaire, de la sécurité publique).",securite,,,48.7636133,2.2059594,"Burospace Batiment 26, route de Gisy",91570,Bievres,1991,http://www.ateme.com,,,,,,,Entreprise
atermes,Atermes,"ATERMES - Applications Techniques Etudes Realisations Mecaniques Electroniues Systemes - conçoit, développe et produit des équipements de hautes technologies, à destination des industriels de l'armement, de l'aéronautique, de l'espace et des télécommunications.",securite,,,48.773613,2.0163014,4 avenue des Trois Peuples,78180,Montigny-Le-Bretonneux,1989,http://www.atermes.fr,,,,,,,Entreprise
atos-origin,Atos Origin,Atos Origin figure parmi les leaders mondiaux des prestations de services informatiques.,,,,48.9249233597552,2.22155431095673,80 quai Voltaire,95877,Bezons Cedex,1998,,,,,,,,Entreprise
atrium-data,Atrium Data,Audit et Conseil pour les Data Centres + R&D dans le domaine des économies d'énergie et la modularité des Data Centres,ocds,,,48.8750402,2.2976245,54 avenue Hoche,75008,Paris,2007,http://www.atriumdata.com,,,,,,,Entreprise
axtrid,Axtrid,"AXTRID propose sous des formes contractuelles personnalisées, du concept à l'industrialisation: études, solutions algorithmiques, moyens matériels, outils logiciels, prototypes et au besoin maitrise d'œuvre.",transport,,,48.776032,2.015519,12 avenue des Prés,78180,Montigny-Le-Bretonneux,2003,http://www.­axtrid.­fr,,,,,,,Entreprise
ays,Ays,"Ays a édité le logiciel ""AppYourSelf"". Ce logiciel permet la création et l’édition de sites web,  sites web mobiles, applications Facebook, depuis un même outil de publication, ce qui est unique sur le marché des CMS, en libre-service.",,,,48.8720327,2.3338496,12 rue de La Chaussee D'Antin,75009,Paris,2011,http://www.appyyourself.com,,,,,,,Entreprise
balyo,Balyo,"Balyo conçoit, fabrique et commercialise toute une gamme de véhicules autoguidés destinés au transport de palettes dans l’industrie et la logistique.",ocds,,,48.8307547,2.3116813,"Le Losserand, 170 rue Raymond Losserand",75014,Paris,2005,http://www.balyo.com,,,,,,,Entreprise
bearstech,Bearstech,opensource et services pour l'hébergement et l'administration système,opensource,,,48.862152,2.3504011,42 boulevard de Sebastopol,75003,Paris,2004,http://bearstech.com,,,,,,,Entreprise
bertin-technologies,Bertin Technologies,La société développe ses activités dans la(les) filière(s) énergétique(s) suivante(s) : Energie électrique; Energie thermique; Bioproduits.,securite,,,43.529742,5.447427,"155, rue Louis Armand, Pôle d'activité d'Aix les Milles BP 2000",13791,Aix-En-Provence,2000,http://www.bertin.fr,,,,,,,Entreprise
bertrand-lejeune,Bertrand Lejeune,,Investisseur,,,48.8574475,2.2780893,38 rue de l'Annonciation,75016,Paris,2004,,,,,,,,Entreprise
better-watt,Better Watt,"Better Watt est un service qui permet d'activer, de programmer et de réguler les chauffages à partir d'un mobile à tout moment.",,,,48.8892636,2.2835566,16 rue Louis Rouquier,92300,Levallois Perret,2011,,,,,,,,Entreprise
big5media,Big5Media,BIG5MEDIA est une agence spécialisée dans le développement d'applications mobiles utiles,telecoms,,,48.8128372,2.3158321,31 rue Boileau,92120,Montrouge,2008,,,,,,,,Entreprise
bio-modeling-systems,Bio Modeling Systems,"The primary goal of Model Biosystems is to offer services to the scientific community in the area of model systems, which will serve to advance our understanding of the genetic regulation of normal development and diseases affecting humans",ocds,,,48.8372967,2.291752,26 rue Saint Lambert,75015,Paris,2004,http://www.bmsystems.net,,,,,,,Entreprise
bioparhom,Bioparhom,"\nBioparHom conçoit, fabrique et commercialise des dispositifs médicaux.\nBioparHom s’est spécialisé dans le diagnostic de composition corporelle par Bioimpédance.",sante,,,45.649392,5.859076,"30 Allée Lac d'Aiguebelette, Bâtiment Passerelle - BP238",73374,Bourget du Lac,2008,http://www.bioparhom.com/,,,,,,,Entreprise
bluelinea,Bluelinea,"La solution  BlueHomeCare® de Bluelinea s’inscrit dans une démarche éthique qui vise à permettre aux personnes âgées souffrant d’une perte d’autonomie, de vivre plus longtemps à leur domicile dans de bonnes conditions.",ocds,sante,,48.8875016,2.3033963,60 boulevard Pereire,75017,Paris,2006,http://www.bluelinea.com,,,,,,,Entreprise
bluwan,Bluwan,"BluWan est une spin off du groupe de Thales, qui développe et lance des solutions sans fil à large bande d'accès pour des fournisseurs de service de telecom.",telecoms,,,48.896391,2.160098,"4, rue Emile Pathé, Espace Lumière-bât 2",78400,Chatou,2005,http://www.bluwan.com,,,,,,,Entreprise
border-6,Border 6,"La technologie de Border 6 scrute et simule ces applications afin de détecter automatiquement les pannes. Elle conduit le trafic applicatif au travers du réseau qui à chaque instant fournit le chemin le plus fiable, rapide ou encore le moins coûteux.",,,,48.82573,2.3265431,"101, avenue du Général LECLERC",75685 Cedex 14,Paris,2012,http://www.border6.com/solutions,,,,,,,Entreprise
bottin-cartographes,Bottin Cartographes,"Bottin Carto développe et commercialise des solutions sur mesure en édition, sur le web et les mobiles. ",telecoms,,,48.869798,2.219033,16 rue Edouard NieuportBP 108 Cedex,92150,Suresnes,2007,http://bottincarto.com/pro,,,,,,,Entreprise
bouygues-telecom-initiative,Bouygues Telecom Initiative,Fonds d'amorçage et Incubateur destiné à soutenir l'Open Innovation.,energie,telecoms,,48.875908,2.299768,"32, avenue Hoche",75008,Paris,1994,http://www.btinitiatives.fr/,,,,,,,Entreprise
bso-network-solutions,Bso Network Solutions,"Created in 2009 and based in Ireland, Carinae Group is a Technical Excellence company that joins the expertise of BSO Network Solutions, BSO Carrier Solutions and Etix DataCenter and directly works for the benefits of enterprises.",telecoms,,,48.8992817,2.2216141,81 avenue Francois Arago,92000,Nanterre,2005,http://www.carinaegroup.com,,,,,,,Entreprise
bull,Bull,"Leader européen des systèmes numériques critiques, et partenaire de confiance pour ses clients.",securite,opensource,telecoms,48.82342,1.976374,"rue Jean Jaurès, BP 68",78340,Les Clayes-Sous-Bois,1954,http://www.bull.com/fr,,,,,,,Entreprise
byo-networks,Byo Networks,BYO Networks développe et commercialise des solutions logicielles et matérielles pour les réseaux de télécommunications. Elles permettent une gestion centralisée de réseaux locaux complexes.,telecoms,,,48.6962109,2.1946309,86 rue de Paris,91400,Orsay,2010,http://www.byo-networks.com/,,,,,,,Entreprise
c-k,C&K,\nC&K Components is a leader in interface and switch technology as well as smart card and high reliability connector products.,ocds,,,48.84432,2.788231,"2, boulevard Michael Faradayarlington square bat B",77716,Serris-Marne-La-Vallee,1964,http://www.ck-components.com,,,,,,,Entreprise
cadev,Cadev,CADev vous accompagne gratuitement dans toutes les phases de votre projet d'investissement ou d'implantation d'entreprise,ocds,,,48.7881917,2.2913113,"8, avenue René Isidore",92260,Fontenay-Aux-Roses,2001,http://www.meteorix.fr,,,,,,,Entreprise
cadlm,Cadlm,"CADLM met en oeuvre des outils puissants et conviviaux pour la conception, le dimensionnement et l'optimisation.",ocds,,,48.6990327,2.137414,9 rue Raoul Dautry,91190,Gif-Sur-Yvette,1989,http://www.cadlm.fr,,,,,,,Entreprise
caisse-des-depots-direction-des-back-offices,Caisse des Depots - Direction des Back Offices,,Investisseur,,,48.859077,2.3279978,DBOHD1 - Plateforme d'execution des dépenses - 56 rue de Lille,73356,Paris 07,1983,,,,,,,,Entreprise
calame-software,Calame Software,Editeur de logiciels spécialisé dans la collecte automatisée de données.,,,,48.403304,2.468334,36 ZA Le Chênet,91490,Milly-La-Forêt,2003,http://www.calame-software.com/,,,,,,,Entreprise
