Identifiant,Nom,Description,Tag 1,Tag 2,Tag 3,Longitude,Latitude,N° et nom de rue,CP,Ville,Année de création,Url site web,Email,Nom compte Twitter,Url page Facebook,Url page Google +,Url page Linkedin,Url page Viadeo,Catégorie
5e-rue,5e Rue,"5e Rue est un agenceur digital qui conseille et accompagne les entreprises et les institutions sur les enjeux d'image, de business et d'organisation soulevés par le web social.",,,,2.37418,48.85672,36 rue Sedaine,75011,Paris,2010,http://www.5erue.com,,5erue,http://www.facebook.com/5eRue,https://plus.google.com/106826478280245133986,,,Prestataire
5m-ventures,5M Ventures,"Fonds de ""Media for Equity"", 5M Ventures propose à des sociétés B2C en forte croissance de l'espace publicitaire dans des médias de premier plan en échange d'une ouverture de leur capital.",,,,2.341908,48.869508,28 place de la Bourse,75002,Paris,,http://www.5M-ventures.com,,,,,,,Investisseur
99metrics,99Metrics,"99Metrics aide les startups web à augmenter leurs revenus sur Internet en particulier sur l'acquisition d'audience, la conversion en client puis la rétention.",,,,2.33764,48.87135,13 rue de Marivaux,75009,Paris,2012,http://www.99metrics.fr,,99metrics,,,http://www.linkedin.com/company/3001973,,Prestataire
a-world-for-us,A World For Us,A World For Us est une équipe d'experts en logiciel et en applications web temps réel qui réalise des solutions interactives et sociales.,,,,2.35124,48.829189,17 rue des 5 Diamants,75013,Paris,2009,http://www.aworldforus.com,,aworldforus,,,http://www.linkedin.com/company/246655,,Entreprise
a2ia,A2iA,A2iA propose des logiciels toujours capables de répondre à toutes les problématiques de dématérialisation de documents.,,,,2.31591,48.87655,38 rue de la Bienfaisance,75008,Paris,,http://www.a2ia.com,,A2iA,,,http://www.linkedin.com/company/35653,,Entreprise
abilian,Abilian,"Editeur de logiciels open source qui propose des solutions innovantes pour votre entreprise ou votre organisation, dans les domaines de la collaboration émergente (entreprise 2.0), des processus métiers et de la gestion de l'information.",,,,2.3564900020004416,48.8287300020005,23 avenue d'Italie,75013,Paris,2012,http://www.abilian.com,sf@fermigier.com,abilianhq,https://www.facebook.com/abilian.corp,,http://www.linkedin.com/company/abilian/,,Entreprise
abstrakt,Abstrakt,Abstrakt est une agence digitale qui assure la promotion de marques et produits numériques en ligne.,,,,2.36465,48.880669,213 rue du Faubourg Saint Martin,75010,Paris,1998,http://www.abstrakt.fr,,abstraktnews,https://www.facebook.com/pages/abstrakt/102356576469615,,http://www.linkedin.com/company/688039,,Prestataire
académie-des-technologies,Académie des Technologies,L’Académie des Technologies a pour vocation d'émettre des propositions et des recommandations auprès des pouvoirs publics et des acteurs socio-économiques pour une meilleure exploitation des technologies au service de l'homme.,,,,2.310285,48.864944,Avenue Franklin D. Roosevelt,75008,Paris,2000,http://www.academie-technologies.fr,,,,https://plus.google.com/109615914757422944025,https://www.facebook.com/pages/Acad%C3%A9mie-des-technologies/122184864647451,,Acteur public
achat-centrale,Achat Centrale,Achat Centrale permet aux TPE et PME de faire des économies sur leurs achats en bénéficiant de conditions privilégiées sur leurs achats non stratégiques.,,,,2.26215,48.88834,3 boulevard de la Saussaye,92200,Neuilly-sur-Seine,2011,http://www.achatcentrale.fr,,AchatCentrale,https://www.facebook.com/achatcentrale.fr,,http://www.linkedin.com/company/achat-centrale,,Entreprise
actialuna,Actialuna,"Actialuna est une agence de design de livre numérique qui orchestre avec les éditeurs le travail des ingénieurs et des auteurs, en créant des interfaces innovantes et ergonomiques pour le livre.",,,,2.40352,48.854858,80 rue des Haies,75020,Paris,2009,http://www.actialuna.com,,Actialuna,,,http://www.linkedin.com/company/1574984,,Prestataire
activnetworks,ActivNetworks,"ActivNetworks est le créateur des solutions BoostEdge, des équipements réseau conçus pour accélérer les temps de réponse Web en réduisant et en optimisant les flux de données.",,,,2.204451,48.689117,1 rue de Terre Neuve,91940,Les Ulis,2004,http://www.activnetworks.com,,,,,http://www.linkedin.com/company/57663,,Entreprise
acute-games-boostr,Acute Games - Boostr,"Acute Games - Boostr produit Urban Rivals, jeu multi-joueurs gratuit avec plus de 800 personnages à découvrir, collectionner et faire évoluer pour combattre en direct des joueurs du monde entier.",,,,2.39081,48.84034,16 rue Dubrunfaut,75012,Paris,2005,http://www.urban-rivals.com,,urbanrivals,https://www.facebook.com/urbanrivals,,http://www.linkedin.com/company/1512985,,Entreprise
ad-invaders,AD-Invaders,AD-Invaders est à la fois une agence de conseil et un studio de jeux vidéo spécialiste du serious gaming.,,,,2.33021,48.817982,2 rue Danton,92120,Montrouge,,http://www.ad-invaders.com,,adinvaders,https://www.facebook.com/pages/AD-Invaders/177004672389057,,http://www.linkedin.com/company/393024,,Entreprise
adebe-networks,Adebe Networks,"Adebe networks développe des concepts de services d’accès à l’information via le web et le mobile et déploie son expertise dans de nombreux domaines : l’ergonomie, le design, le (e)marketing, le pricing, les business models et la valeur d’usage.",,,,2.37272,48.849918,16 rue Moreau,75012,Paris,2000,http://www.adebenetworks.com,,,,,,,Entreprise
adminext,Adminext,"Adminext est un cabinet de conseil spécialisé dans la réingénierie des processus publics, le pilotage stratégique des systèmes d’information et la mise en oeuvre de solutions innovantes de dématérialisation.",,,,2.3292,48.83054,48 avenue du Général Leclerc,75014,Paris,2007,http://www.adminext.com,,,,,http://www.linkedin.com/company/3036042,,Prestataire
advestigo,Advestigo,Advestigo propose une technologie d'empreintes numériques qui protège les contenus audio ou vidéo et permet leur distribution légale sur Internet.,,,,2.22108,48.84193,1 rue Royale,92210,Saint Cloud,,http://www.advestigo.com,,,,,http://www.linkedin.com/company/57701,,Entreprise
adways,Adways,Adways est spécialisée dans le rich média interactif et assure le développement de solutions et d’applications innovantes pour tous les supports en ayant recours à la vidéo enrichie.,,,,2.32361,48.875179,2 rue de la Pépinière,75008,Paris,2010,http://www.adways.com,,,https://www.facebook.com/adways.sas,,http://www.linkedin.com/company/2868632,,Entreprise
aerys,Aerys,"Aerys propose Minko, une technologie permettant de réaliser des applications 3D sur le web et sur mobiles, et Orbit, une technologie pour l’internet des objets.",,,,2.3835,48.825661,15 rue Jean-Baptiste Berlier,75013,Paris,2010,http://www.aerys.in,,AerysInnovation,https://www.facebook.com/aerysinnovation,,http://www.linkedin.com/company/1880115,,Entreprise
af83,af83,"af83 est une agence spécialisée en conception d’expérience, technologie et communication, qui accompagne ses clients dans la transformation de leur activité sur le digital pour offrir des services innovants à leurs utilisateurs.",,,,2.3478,48.869228,15 rue Poissonnière,75002,Paris,2006,http://www.af83.com,,af83,,,http://www.linkedin.com/company/af83,,Prestataire
afci-newsoft,AFCI Newsoft,"AFCI Newsoft est un centre de formation qui propose dans son catalogue de nombreuses formations diplômantes autour d'internet, du web et du multimédia.",,,,2.437431,48.857582,12 rue de Vincennes,93100,Montreuil,1989,http://www.afci.fr,,,https://www.facebook.com/afcinewsoft,,http://www.linkedin.com/company/2731633,,École
agence-française-informatique,Agence Française Informatique,L'AFI est une société de conseil spécialiste de l'informatique et des métiers des collectivités territoriales.,,,,3.08767,48.9487,4 rue de la Couture,77260,Sammeron,1981,http://www.afi-sa.fr,,,,,,,Prestataire
agence-propal,Agence Propal,"L'Agence Propal est une agence digitale spécialiste de Drupal qui offre développement, conseil et expertise.",,,,2.34958,48.889542,57 boulevard Barbès,75018,Paris,,http://www.propal.net,,,,,,,Prestataire
agilab,Agilab,"AgiLab offre une nouvelle génération d’applications web LIMS (Laboratory Information Management System) et ELN (Electronic Laboratory Notebook) pour la gestion de l’information dans les laboratoires de recherche, développement et contrôle qualité.",,,,2.393599,48.871109,24 rue de l'Est,75020,Paris,2010,http://www.agilab.fr,,,,,http://www.linkedin.com/company/agilab,,Entreprise
agora-plus,Agora plus,Agora Plus est un éditeur de logiciels qui propose des solutions full web aux collectivités locales.,,,,2.3835,48.825661,15 rue Jean-Baptiste Berlier,75013,Paris,2005,http://www.agoraplus.fr,,,,,,,Entreprise
agorabox,Agorabox,"Agorabox développe un logiciel libre permettant d'emmener partout son bureau numérique avec ses applications et ses fichiers, le tout sur une clé USB de 8GB.",,,,2.3867,48.868664,5 rue Eupatoria,75020,Paris,2008,http://www.agorabox.org,,agorabox,,,http://www.linkedin.com/company/agorabox,,Entreprise
agoralogie,Agoralogie,"Agoralogie est spécialisée dans la gestion de projets de travail collaboratif pour le web sémantique et l'étude des mesures de la qualité du travail, pour des résultats exploités scientifiquement.",,,,2.37942,48.85141,6  rue de Candie,75011,Paris,,http://www.agoralogie.fr,,Agoralogie,,,,,Entreprise
agoranov,Agoranov,"Agoranov est un incubateur public d'entreprises innovantes fondé par les Universités Pierre et Marie Curie et Dauphine, l’Ecole Normale Supérieure, ParisTech et l’INRIA.",,,,2.32823,48.846191,96 boulevard Raspail,75006,Paris,2000,http://www.agoranov.com,,,,,http://www.linkedin.com/company/87654,,Incubateur
agorize,Agorize,"Agorize, éditée par Studyka, est une plateforme SaaS dédiée à l’animation de communauté dans le but d’identifier les personnes les plus qualifiées et de les associer à la définition de la stratégie de l’organisation et à ses processus d’innovation.",,,,2.3144,48.83078,5 rue des Suisses,75014,Paris,2011,http://www.agorize.com,,,,,http://www.linkedin.com/company/1477703,,Entreprise
airbnb,Airbnb,Airbnb est une plateforme communautaire de location de logements entre particuliers.,,,,2.3448,48.873089,3 rue de Montyon,75009,Paris,2008,http://www.airbnb.fr,,airbnb_fr,https://www.facebook.com/AirbnbFrance,,http://www.linkedin.com/company/309694,,Entreprise
akamedia,Akamedia,Akamedia propose des services de production de contenus audiovisuels et des solutions de distribution pour tous les écrans.,,,,2.2847,48.837639,2 villa Thoréton,75015,Paris,2003,http://www.akamedia.net,,akamedia,https://www.facebook.com/pages/Akamedia/262525683655,,http://www.linkedin.com/company/akamedia,,Entreprise
akare,Akare,Akare est un éditeur de logiciels de gestion et d'applications collaboratives en ligne.,,,,2.304993,48.870593,66 avenue de Champs Elysées,75008,Paris,2007,http://www.akare.eu,,,,,http://www.linkedin.com/company/akare,,Entreprise
alambik,Alambik,"Alambik est un incubateur qui regroupe une communauté de startups et un ""garage"" d'entrepreneurs de la génération Y.",,,,2.34918,48.875641,54 rue de Paradis,75010,Paris,,http://www.alambik.eu,,CuveeStartups,https://www.facebook.com/pages/Alambik/121092321281815,,,,Incubateur
alcatel-lucent,Alcatel-Lucent,"Alcatel-Lucent est un leader des technologies mobiles, fixes, IP et optiques, ainsi qu’un précurseur dans le domaine des applications et des services.",,,,2.238112,48.662532,7 route de Villejust,91620,Nozay,2006,http://www.alcatel-lucent.com,,AlcatelLucent,,,http://www.linkedin.com/company/1058,,Entreprise
aldebaran-robotics,Aldebaran Robotics,"Aldebaran Robotics est une société spécialisée dans la robotique. Elle a créé Nao, un robot humanoïde programmable.",,,,2.31015,48.829922,170 rue Raymond Losserand,75014,Paris,2005,http://www.aldebaran-robotics.com,,AldebaranR,,,http://www.linkedin.com/company/98040,,Entreprise
alert.us,Alert.Us,Alert.Us est une application mobile qui permet aux enfants d’obtenir l’aide de leurs proches dès qu’ils ont besoin d’assistance.,,,,2.30392,48.8746,7 avenue de Friedland,75008,Paris,2011,http://www.alert.us,,AlertUs,https://www.facebook.com/pages/AlertUs/191696730924046,,,,Entreprise
alfstore,Alfstore,Alfstore est un éditeur de solutions qui construit des applications sociales orientées métier pour Alfresco.,,,,2.3835,48.825661,15 rue Jean-Baptiste Berlier,75013,Paris,2010,http://www.alfstore.com,,Alfstore,,,http://www.linkedin.com/company/915876,,Entreprise
alice-innovation,Alice Innovation,Alice Innovation produit des solutions informatiques et des services technologiques dédiés au développement et au soutien de l'innovation.,,,,2.536097,48.835155,3 boulevard Georges Méliès,94350,Villiers sur Marne,,http://www.alice-innovation.com,,,,,,,Entreprise
alioscopy,Alioscopy,Alioscopy développe des solution et services 3D qui ne nécessitent pas le port de lunettes 3D pour être regardés.,,,,2.394663,48.87094,3 rue de l'Est,75020,Paris,1987,http://www.alioscopy.com,,Alioscopy,,,,,Entreprise
all-together,All Together,All Together est un réseau social de partage d'activités de loisirs en réel.,,,,2.16894,48.89254,17 rue Raymond Queneau,92500,Rueil-Malmaison,2012,http://www.all-together.net,,AllTogetherNet,http://facebook.com/AllTogether,https://plus.google.com/103028441603721567999,http://www.linkedin.com/company/all-together,,Entreprise
allmyapps,Allmyapps,Allmayapps développe un App Store pour Windows qui permet de découvrir et de gérer les applications sur PC.,,,,2.31294,48.881618,8 rue de la Terrasse,75017,Paris,2009,http://www.allmyapps.com,,allmyapps,https://www.facebook.com/allmyapps,,http://www.linkedin.com/company/allmyapps,,Entreprise
allocadeau,AlloCadeau,AlloCadeau est une conciergerie en ligne d'idées cadeaux.,,,,2.37359,48.849209,65 avenue Ledru-Rollin,75012,Paris,,http://www.allocadeau.com,,AlloCadeau,https://www.facebook.com/AlloCadeau,,,,Entreprise
alphacode,Alphacode,Alphacode propose des outils pour l'extraction d'information à partir de documents papier et offre des services pour la lecture et l'interprétation automatique des données.,,,,2.0948,48.721779,26 rue Mars,78110,Magny les Hameaux,,http://www.alphacode.eu,,,,,,,Entreprise
alphaui,AlphaUi,AlphaUi a lancé un prototype innovant pour donner efficacité et confort de saisie aux équipements de la mobilité sous la forme d'un clavier dorsal qui s’intègre aux smartphones et tablettes mobiles.,,,,2.35278,48.893959,110 rue des Poissonniers,75018,Paris,2008,http://www.alphaui.com,,AlphaUi_,,,,,Entreprise
altadyn,Altadyn,Altadyn propose des solutions web 3D pour créer des sites et organiser des événements collaboratifs synchrones.,,,,2.279541,48.720039,2 route de la Bonde,91300,Massy,2002,http://www.3Dxplorer.com,,Altadyn,http://www.facebook.com/pages/3DXplorer/183262528362198,,http://www.linkedin.com/company/altadyn,,Entreprise
alter-way,Alter Way,Alter Way est un opérateur de services open source dédié au Ddigital et au système d’information qui se démarque par son ADN 100 % opensource et sa démarche résolument devops et industrielle.,,,,2.22108,48.84193,1 rue Royale,92210,Saint cloud,,http://www.alterway.fr,,alterway,,,,,Entreprise
altic,Altic,"Altic est un intégrateur de solutions open source qui propose des ALTernatives pour votre système d'Information et de Communication en matière de business intelligence, de gestion de données et d'outils collaboratifs.",,,,2.34463,48.872478,25 rue Bergère,75009,Paris,2004,http://www.altic.org,,Altic_Buzz,,,http://www.linkedin.com/company/2059534,,Entreprise
alvarum,Alvarum,"Alvarum donne accès aux associations à des solutions clé en main, sans coût d’entrée, pour collecter des fonds et promouvoir leur cause.",,,,2.35278,48.893959,110 rue des Poissonniers,75018,Paris,2008,http://www.alvarum.fr,,Alvarumfr,https://www.facebook.com/alvarumfr,,http://www.linkedin.com/company/1686469,,Entreprise
alven-capital,Alven Capital,"Alven Capital est un fonds de venture capital indépendant qui investit principalement dans les secteurs d'internet, des médias et de l’IT.",,,,2.33481,48.863708,1 place André Malraux,75001,Paris,2000,http://www.alvencapital.com,,alvencap,,,http://www.linkedin.com/company/2177951,,Investisseur
amen,Amen,"Amen est fournisseur de noms de domaine, d'hébergement de serveurs et de plateformes eCommerce.",,,,2.30977,48.869621,12 rond point des Champs Elysées,75008,Paris,1999,http://www.amen.fr,,amenfrance,https://www.facebook.com/amensas,,http://www.linkedin.com/company/1173425,,Entreprise
ami-software,AMI Software,AMI Software est un éditeur de logiciels spécialisé dans les solutions de veille stratégique et d'intelligence économique.,,,,2.37827,48.845879,46 avenue Daumesnil,75012,Paris,,http://www.amisw.com,,ami_software,http://www.facebook.com/pages/AMI-Software/348124865173,,http://www.linkedin.com/company/139708,,Entreprise
anabole,Anabole,"Anabole est spécialisée dans la réalisation de produits numériques, l'édition et la recherche.",,,,2.3232,48.885818,23 rue Nollet,75017,Paris,1993,http://www.anabole.com,,,,,,,Entreprise
anakeen,Anakeen,"Experts en valorisation de l'information et haute technologie qui proposent Dynacase, une plateforme PHP pour développer et exécuter des applications web.",,,,2.38612,48.85046,33 rue de Montreuil,75011,Paris,1998,http://www.anakeen.com,,anakeen,,,http://www.linkedin.com/company/1200984,,Entreprise
anevia,Anevia,"Anevia propose des solutions IPTV and OTT (over-the-top) TV pour live et vidéos à la demande en streaming sur les écrans TV, ordinateurs, tablettes et mobiles.",,,,2.34334,48.813969,1 rue René Anjolvy,94250,Gentilly,2003,http://www.anevia.com,,aneviaiptv,,,http://www.linkedin.com/company/40174,,Entreprise
antenna,Antenna,Antenna créée des parcours de visite audio et multimedia pour aider les musées et les sites culturels à enrichir l'expérience de leurs visiteurs.,,,,2.34602,48.85968,3 rue des Déchargeurs,75001,Paris,1984,http://www.antennaaudio.com,,AntennaIntl,https://www.facebook.com/AntennaInternational,,http://www.linkedin.com/company/antenna-international,,Prestataire
anticafé,AntiCafé,"L'AntiCafé est un espace de coworking qui propose de payer au temps et de consommer à volonté : café, thé, snacks / wifi à très haut débit et matériels mutualisés.",,,,2.3511,48.86227,79 rue Quincampoix,75003,Paris,2013,http://www.anticafe.fr,,,https://www.facebook.com/anticafe.eu,,,,Tiers-lieu
antvoice,AntVoice,AntVoice édite une solution innovante et puissante de recommandation sociale permettant aux sites marchands et medias de proposer les produits et les contenus pertinents pour chacun de leurs utilisateurs.,,,,2.34624,48.86993,28 rue du Sentier,75009,Paris,2009,http://www.antvoice.com,,antvoice,https://www.facebook.com/AntvoiceGroup,,http://www.linkedin.com/company/antvoice,,Prestataire
ant’inno,Ant’Inno,Ant'Inno propose des solutions de gestion collaborative de documents.,,,,2.43492,48.861721,29 rue de la Beaune,93100,Montreuil,2009,http://www.antinno.fr,,,,,,,Entreprise
anybox,Anybox,"Anybox est spécialisée dans les applications pour entreprises, associations, administrations, collectivités territoriales, grâce à une expertise sur le logiciel OpenERP.",,,,2.392019997000432,48.86571999500046,14-16 rue soleillet,75020,Paris,2013,http://www.anybox.fr,contact@anybox.fr,anybox,https://www.facebook.com/pages/Anybox/169837443059207,https://plus.google.com/u/0/b/107389966280223349552/107389966280223349552/posts,,,Prestataire
apach-network,Apach Network,"Apach Network propose d'encoder, d'héberger et de diffuser en toute sécurité et dans un cadre légal, tout contenu audio/video en le rendant universellement accessible au travers des circuits de distribution traditionnelle.",,,,2.194073,48.686092,3 avenue du Canada,91940,Les Ulis,,http://www.apachnetwork.com,,,,,http://www.linkedin.com/company/897715,,Entreprise
apila,Apila,Apila est une application mobile communautaire et en temps réel pour trouver des places de stationnement dans la rue.,,,,2.3835,48.825661,15 rue Jean-Baptiste Berlier,75013,Paris,2010,http://www.apila.fr,,ApilaTweet,https://www.facebook.com/pages/Apila/10150119667740335,,,,Entreprise
aplusb,AplusB,AplusB est une société innovante d’étude et de conseil en stratégie centrée utilisateurs qui regroupe des ergonomes et des experts en accessibilité numérique.,,,,2.44693,48.64901,63 boulevard de la République,91450,Soisy sur Seine,2010,http://www.aplusb.pro,,,,,http://www.linkedin.com/company/1788192,,Prestataire
apocope,Apocope,Apocope est une agence marketing spécialisée internet et mobile.,,,,2.361,48.86005,93 rue Vieille du Temple,75003,Paris,2000,http://www.apocope.com,,AgenceApocope,,,http://www.linkedin.com/company/51154,,Prestataire
appartinfo,AppartInfo,"AppartInfo est une plateforme communautaire qui fournit des avis et conseils d'habitants sur les villes, quartiers et résidences en France.",,,,2.254,48.833481,83 avenue Pierre Grenier,92100,Boulogne Billancourt,2011,http://www.appartinfo.com,,appartinfo,https://www.facebook.com/APPARTINFO,https://plus.google.com/104010508393982552130,http://www.linkedin.com/company/1828129,,Entreprise
appgratis,AppGratis,AppGratis est une application de recommandation d'applications mobiles gratuites.,,,,2.30615,48.882729,48 rue Cardinet,75017,Paris,2008,http://www.appgratis.com,,AppGratis,https://www.facebook.com/appgratis,,http://www.linkedin.com/company/2656106,,Entreprise
appsfire,Appsfire,"AppsFire est une application de découverte, promotion et marketing d'applications mobiles.",,,,2.32258,48.84364,3 rue de l'Arrivée,75015,Paris,2010,http://www.appsfire.com,,appsfire,https://www.facebook.com/appsfire,,http://www.linkedin.com/company/388697,,Entreprise
appsify,Appsify,Appsify est une interface web intuitive qui permet de créer simplement des applications iOS.,,,,2.35707,48.868309,48 rue Meslay,75003,Paris,2012,http://www.appsify.me,,appsifyme,https://www.facebook.com/appsifyme,,http://www.linkedin.com/company/2462066,,Entreprise
aquafadas,Aquafadas,"Aquafadas développe des solutions pour l'édition numérique sur tablettes, smartphones, et des logiciels de création de contenus en Flash et HTML5, ainsi que pour la photo et l'édition de vidéo.",,,,2.37943,48.846161,128 rue de Charenton,75012,Paris,2006,http://www.aquafadas.com,,aquafadas,https://www.facebook.com/Aquafadas,,http://www.linkedin.com/company/337911,,Entreprise
arcep,ARCEP,L'Autorité de Régulation des Communications Electroniques et des Postes est une autorité administrative indépendante dotée de pouvoirs spécifiques en matière de régulation des télécommunications.,,,,2.31775,48.840511,7 square Max Hymans,75015,Paris,2005,http://www.arcep.fr,,,https://www.facebook.com/pages/Arcep/108139302552232,,http://www.linkedin.com/company/20857,,Acteur public
archicol,Archicol,Archicol propose aux professionnels de l'édition des solutions logicielles simples et automatisées pour la production de contenus numériques dans le respect des normes de l'ePub.,,,,2.35122,48.843559,2 rue Saint-Médard,75005,Paris,2012,http://www.archicol.fr,,,,,,,Entreprise
architectures-multimédia,Architectures Multimédia,"Architectures Multimédia développe Index 3D, un outil de recherche et de visualisation 3D interactive de l'information destinée au grand public et aux professionnels.",,,,2.36872,48.85043,36 boulevard de la Bastille,75012,Paris,,http://www.index3d.fr,,,,,,,Entreprise
archivezen,ArchiveZen,"ArchiveZen est une solution en ligne, simple et sécurisée d'archivage de documents.",,,,2.336187,48.879516,50 rue Notre-Dame de Lorette,75009,Paris,2011,http://www.archivezen.com,,archivezen,,,,,Entreprise
archos,Archos,"Archos est un fabricant d'appareils mobiles : tablettes, smartphones, lecteurs MP3/4 et liseuses.",,,,2.235331,48.729672,12 rue Ampère,91440,Igny,1998,http://www.archos.com,,ARCHOSNews,https://www.facebook.com/Archosworldwide,,http://www.linkedin.com/company/18647,,Entreprise
ardans,Ardans,Ardans est un cabinet de conseil spécialisé dans la gestion des connaissances au sein des organisations.,,,,2.03611,48.792641,6 rue Jean-Pierre Timbaud,78180,Montigny le Bretonneux,1999,http://www.ardans.fr,,ardanssas,,,http://www.linkedin.com/company/ardans,,Prestataire
argia,Argia,"Argia édite Faascape, une plate-forme d'intermédiation entre clients et  producteurs de logiciels, qui donne accès à un catalogue de fonctionnalités facturées à l'usage.",,,,2.24194,48.841671,16  rue Louis Pasteur,92100,Boulogne Billancourt,1994,http://www.argia.fr,,faascapefr,,,http://www.linkedin.com/company/112422,,Entreprise
arizuka,Arizuka,Fourmilière de crowdfunding dédiée à l'innovation et à la solidarité !,,,,2.3928481990004116,48.84924092900047,6 rue des Immeubles Industriels,75011,Paris,2011,http://www.arizuka.com,fabrice.carrega@arizuka.com,Arizuka_,http://www.facebook.com/arizuka.fr,https://plus.google.com/107013686415804860663/,,,Entreprise
arkamys,Arkamys,Arkamys propose des solutions logicielles qui permettent d'améliorer l'expérience des contenus sonores.,,,,2.31974,48.893139,31 rue pouchet,75017,Paris,1998,http://www.arkamys.com,,ArkamysNews,,,http://www.linkedin.com/company/112443,,Entreprise
armadillo,Armadillo,Armadillo est spécialisée dans le domaine des bases de données documentaires. Elle propose des solutions d'indexation permettant de gérer des fonds documentaires multimédia hétérogènes volumineux.,,,,2.28584,48.819031,46 rue de la République,94170,Vanves,1998,http://www.armadillo.fr,,,,,,,Entreprise
arom-productions,Arom Productions,"Arom Productions est une agence de communication web, vidéos et création graphique.",,,,2.19654,48.847031,71 rue de Suresnes,92380,Garches,1997,http://www.arom-productions.com,,,,,,,Prestataire
ars-aperta,Ars Aperta,Ars Aperta est un cabinet de conseil qui intervient sur la stratégie des organisations dans le domaine des standards ouverts et de l'open source.,,,,2.34145,48.885101,8  rue André Barsacq,75018,Paris,2005,http://www.arsaperta.com,,,,,,,Prestataire
